37/35,0,-2,0,-5,-1,6,2,-2,-3,4,8,-11,4,4,10,1,-2,-2,-3,-12,4,-1,4,2,16
34/33,1,0,-3,-5,-2,1,-8,1,6,2,8,-5,1,12,7,1,10,8,4,6,-7,6,-11,10,-3
35/34,0,-2,0,1,-1,-6,-2,1,-4,6,-1,10,-5,4,11,-10,0,-2,10,-12,-4,-14,2,-3,12
38/35,1,2,0,-5,0,2,-3,1,3,4,-7,10,12,-4,0,-2,8,-8,10,3,1,-14,-3,0,-9
37/34,0,2,3,-5,-3,1,-2,1,6,3,-6,-11,-3,9,-6,0,2,6,2,-8,-1,-7,-9,6,12
71/70,0,-2,0,-5,-3,-1,-1,1,6,-10,-5,-5,-6,4,-8,-4,4,4,-2,-12,-11,15,12,8,-4
35/33,0,0,0,1,-2,-5,3,1,-3,4,-6,-5,-1,-6,0,-6,0,10,-11,-4,-5,8,0,12,-2
17/16,0,-2,-3,-5,6,2,-8,-2,4,0,3,-2,-3,-10,-1,-9,9,1,-11,-15,-11,5,2,-7,8
-10/3,1,0,0,1,-3,2,-3,-2,1,4,2,-7,-3,7,0,-11,-11,-6,11,0,7,-8,12,-3,-19
-11/5,0,-2,0,1,0,1,-3,-2,3,0,-10,-7,1,9,-4,3,6,-2,4,10,2,-10,3,-14,-18
-61/54,0,0,0,1,2,0,-3,-2,-3,-5,-9,-5,-4,-7,0,-2,-12,-13,8,-3,2,-14,-4,-8,14
-64/51,0,0,0,3,4,6,-2,-2,-3,-4,3,-1,10,6,-11,-11,1,1,11,-5,14,-8,12,-12,1
-11/14,0,-2,2,-5,0,0,5,1,4,6,-4,5,6,4,-11,1,-1,-5,11,5,-10,8,-12,18,8
-17/13,0,2,0,3,0,-2,-8,1,0,0,-9,-6,-6,4,-8,-3,10,0,2,15,-10,-8,-15,-6,17
-27/25,0,0,0,1,-1,2,2,1,-8,3,-1,-6,0,1,-3,6,4,10,8,-9,6,1,3,10,12
-34/25,-1,-2,0,1,4,-5,-8,-2,2,2,4,-7,-6,8,10,-7,0,-7,11,-8,2,-6,1,6,-8
-29/24,0,0,1,1,-1,-5,-3,-2,-8,-10,-9,-7,12,4,0,-3,6,-10,4,5,11,8,2,0,10
-19/17,0,2,3,3,2,-5,-2,1,3,-2,-1,-7,2,4,0,-6,4,13,-8,-12,-4,8,-16,0,-6
-7/6,0,0,2,1,0,2,-3,1,6,2,-10,-2,-2,-4,-6,6,0,-1,-3,-1,0,-6,0,-4,-6
-19/14,0,2,1,-5,-5,6,6,1,-4,0,1,5,6,-7,4,6,6,-5,3,-12,14,13,12,-8,12
-15/14,0,0,0,-5,2,4,2,-2,-8,4,1,-6,0,4,6,-11,-1,5,2,12,-11,-10,-4,6,-10
-28/27,0,0,0,1,-5,4,-3,1,-6,3,2,-7,-7,5,8,11,8,13,-14,8,10,5,-4,12,-5
